date,positive,death
20210307,28756489,515151
20210306,28714654,514309
20210305,28654639,512629
20210304,28585852,510408
20210303,28520365,508665
20210302,28453529,506216
20210301,28399281,504488
20210228,28351189,503247
20210227,28296840,502196
20210226,28225595,500349
20210225,28150738,498208
20210224,28075173,495070
20210223,28001915,492623
20210222,27932810,490382
20210221,27880280,489147
20210220,27821578,487860
20210219,27749224,485700
20210218,27674548,483223
20210217,27607724,480607
20210216,27540885,478259
20210215,27484573,476906
20210214,27429496,475828
20210213,27357332,474462
20210212,27266690,470995
20210211,27165660,465568
20210210,27063243,461695
20210209,26968049,458250
20210208,26875063,455455
20210207,26797326,454146
20210206,26701332,452671
20210205,26586775,449677
20210204,26455629,446134
20210203,26331722,440922
20210202,26214762,437237
20210201,26097146,433751
20210131,25976946,432189
20210130,25857579,430130
20210129,25708755,427148
20210128,25541644,423645
20210127,25384338,419634
20210126,25230353,415557
20210125,25083905,411823
20210124,24950451,410230
20210123,24806217,408286
20210122,24629099,404695
20210121,24438184,400715
20210120,24251909,396837
20210119,24062706,392428
20210118,23916080,390287
20210117,23765288,388892
20210116,23578070,386839
20210115,23359985,383130
20210114,23113531,379451
20210113,22887915,375536
20210112,22663424,371449
20210111,22445404,367385
20210110,22250149,365652
20210109,22021417,363584
20210108,21752049,360047
20210107,21456928,356267
20210106,21184885,352188
20210105,20934701,348286
20210104,20715626,344802
20210103,20536055,343255
20210102,20327598,341800
20210101,20047280,339394
20201231,19864374,336802
20201230,19638128,333505
20201229,19408632,329605
20201228,19208953,326316
20201227,19044826,324826
20201226,18891286,323429
20201225,18700692,322003
20201224,18573896,320450
20201223,18367212,317492
20201222,18142686,314099
20201221,17949678,310962
20201220,17770272,309482
20201219,17572778,307814
20201218,17367905,305106
20201217,17126119,302240
20201216,16883149,298775
20201215,16648861,295322
20201214,16455643,292398
20201213,16262357,291041
20201212,16075106,289540
20201211,15848202,287043
20201210,15611269,284296
20201209,15390423,281164
20201208,15173695,277995
20201207,14955851,275315
20201206,14773954,274024
