date,deathIncrease,hospitalizedIncrease,positiveIncrease,,,,,,,,,,,,,,,,,,,,
20210307,842,726,41835,,,,,,,,,,,,,,,,,,,,
20210306,1680,503,60015,,,,,,,,,,,,,,,,,,,,
20210305,2221,2781,68787,,,,,,,,,,,,,,,,,,,,
20210304,1743,1530,65487,,,,,,,,,,,,,,,,,,,,
20210303,2449,2172,66836,,,,,,,,,,,,,,,,,,,,
20210302,1728,1871,54248,,,,,,,,,,,,,,,,,,,,
20210301,1241,1024,48092,,,,,,,,,,,,,,,,,,,,
20210228,1051,879,54349,,,,,,,,,,,,,,,,,,,,
20210227,1847,1428,71245,,,,,,,,,,,,,,,,,,,,
20210226,2141,1868,74857,,,,,,,,,,,,,,,,,,,,
20210225,3138,2047,75565,,,,,,,,,,,,,,,,,,,,
20210224,2447,2172,73258,,,,,,,,,,,,,,,,,,,,
20210223,2241,2164,69105,,,,,,,,,,,,,,,,,,,,
20210222,1235,1305,52530,,,,,,,,,,,,,,,,,,,,
20210221,1287,997,58702,,,,,,,,,,,,,,,,,,,,
20210220,2160,1732,72354,,,,,,,,,,,,,,,,,,,,
20210219,2477,2674,74676,,,,,,,,,,,,,,,,,,,,
20210218,2616,2497,66824,,,,,,,,,,,,,,,,,,,,
20210217,2348,2857,66839,,,,,,,,,,,,,,,,,,,,
20210216,1353,2094,56312,,,,,,,,,,,,,,,,,,,,
20210215,1078,1130,55077,,,,,,,,,,,,,,,,,,,,
20210214,1366,1236,72164,,,,,,,,,,,,,,,,,,,,
20210213,3467,1805,90642,,,,,,,,,,,,,,,,,,,,
20210212,5427,2347,101030,,,,,,,,,,,,,,,,,,,,
20210211,3873,2460,102417,,,,,,,,,,,,,,,,,,,,
20210210,3445,3226,95194,,,,,,,,,,,,,,,,,,,,
20210209,2795,3144,92986,,,,,,,,,,,,,,,,,,,,
20210208,1309,1638,77737,,,,,,,,,,,,,,,,,,,,
20210207,1475,1543,95994,,,,,,,,,,,,,,,,,,,,
20210206,2994,2443,114557,,,,,,,,,,,,,,,,,,,,
20210205,3543,2940,131146,,,,,,,,,,,,,,,,,,,,
20210204,5212,3402,123907,,,,,,,,,,,,,,,,,,,,
20210203,3685,3975,116960,,,,,,,,,,,,,,,,,,,,
20210202,3486,3285,117616,,,,,,,,,,,,,,,,,,,,
20210201,1562,1766,120200,,,,,,,,,,,,,,,,,,,,
20210131,2059,2171,119367,,,,,,,,,,,,,,,,,,,,
20210130,2982,3147,148824,,,,,,,,,,,,,,,,,,,,
20210129,3503,2835,167111,,,,,,,,,,,,,,,,,,,,
20210128,4011,3500,157306,,,,,,,,,,,,,,,,,,,,
20210127,4077,4134,153985,,,,,,,,,,,,,,,,,,,,
20210126,3734,3705,146448,,,,,,,,,,,,,,,,,,,,
20210125,1593,2515,133454,,,,,,,,,,,,,,,,,,,,
20210124,1944,1909,144234,,,,,,,,,,,,,,,,,,,,
20210123,3591,6652,177118,,,,,,,,,,,,,,,,,,,,
20210122,3980,4325,190915,,,,,,,,,,,,,,,,,,,,
20210121,3878,4053,186275,,,,,,,,,,,,,,,,,,,,
20210120,4409,5105,189203,,,,,,,,,,,,,,,,,,,,
20210119,2141,3206,146626,,,,,,,,,,,,,,,,,,,,
20210118,1395,2839,150792,,,,,,,,,,,,,,,,,,,,
20210117,2053,2167,187218,,,,,,,,,,,,,,,,,,,,
20210116,3709,4039,218085,,,,,,,,,,,,,,,,,,,,
20210115,3679,4000,246454,,,,,,,,,,,,,,,,,,,,
20210114,3915,3792,225616,,,,,,,,,,,,,,,,,,,,
20210113,4087,5312,224491,,,,,,,,,,,,,,,,,,,,
20210112,4064,4657,218020,,,,,,,,,,,,,,,,,,,,
20210111,1733,3045,195255,,,,,,,,,,,,,,,,,,,,
20210110,2068,2413,228732,,,,,,,,,,,,,,,,,,,,
20210109,3537,6683,269368,,,,,,,,,,,,,,,,,,,,
20210108,3780,4705,295121,,,,,,,,,,,,,,,,,,,,
20210107,4079,5312,272043,,,,,,,,,,,,,,,,,,,,
20210106,3902,6607,250184,,,,,,,,,,,,,,,,,,,,
20210105,3484,4290,219075,,,,,,,,,,,,,,,,,,,,
20210104,1547,3892,179571,,,,,,,,,,,,,,,,,,,,
20210103,1455,2226,208457,,,,,,,,,,,,,,,,,,,,
20210102,2406,3051,280318,,,,,,,,,,,,,,,,,,,,
20210101,2592,4550,182906,,,,,,,,,,,,,,,,,,,,
20201231,3297,4348,226246,,,,,,,,,,,,,,,,,,,,
20201230,3900,5514,229496,,,,,,,,,,,,,,,,,,,,
20201229,3289,5261,199679,,,,,,,,,,,,,,,,,,,,
20201228,1490,3723,164127,,,,,,,,,,,,,,,,,,,,
20201227,1397,2302,153540,,,,,,,,,,,,,,,,,,,,
20201226,1426,2292,190594,,,,,,,,,,,,,,,,,,,,
20201225,1553,2047,126796,,,,,,,,,,,,,,,,,,,,
20201224,2958,4289,206684,,,,,,,,,,,,,,,,,,,,
20201223,3393,4795,224526,,,,,,,,,,,,,,,,,,,,
20201222,3137,4567,193008,,,,,,,,,,,,,,,,,,,,
20201221,1480,3111,179406,,,,,,,,,,,,,,,,,,,,
20201220,1668,2382,197494,,,,,,,,,,,,,,,,,,,,
20201219,2708,3429,204873,,,,,,,,,,,,,,,,,,,,
20201218,2866,5214,241786,,,,,,,,,,,,,,,,,,,,
20201217,3465,5167,242970,,,,,,,,,,,,,,,,,,,,
20201216,3453,4776,234288,,,,,,,,,,,,,,,,,,,,
20201215,2924,4430,193218,,,,,,,,,,,,,,,,,,,,
20201214,1357,3461,193286,,,,,,,,,,,,,,,,,,,,
20201213,1501,2314,187251,,,,,,,,,,,,,,,,,,,,
20201212,2497,3789,226904,,,,,,,,,,,,,,,,,,,,
20201211,2747,5411,236933,,,,,,,,,,,,,,,,,,,,
20201210,3132,4450,220846,,,,,,,,,,,,,,,,,,,,
20201209,3169,5300,216728,,,,,,,,,,,,,,,,,,,,
20201208,2680,4410,217844,,,,,,,,,,,,,,,,,,,,
20201207,1291,3461,181897,,,,,,,,,,,,,,,,,,,,
20201206,1163,2311,182580,,,,,,,,,,,,,,,,,,,,
20201205,2486,3513,219070,,,,,,,,,,,,,,,,,,,,
20201204,2563,4654,230313,,,,,,,,,,,,,,,,,,,,
20201203,2822,5369,216271,,,,,,,,,,,,,,,,,,,,
20201202,2811,5238,203429,,,,,,,,,,,,,,,,,,,,
20201201,2489,4916,181183,,,,,,,,,,,,,,,,,,,,
20201130,1037,3394,150031,,,,,,,,,,,,,,,,,,,,
20201129,825,2429,137254,,,,,,,,,,,,,,,,,,,,
20201128,1243,3485,151469,,,,,,,,,,,,,,,,,,,,
20201127,1404,3418,198874,,,,,,,,,,,,,,,,,,,,
20201126,1392,2333,129764,,,,,,,,,,,,,,,,,,,,
20201125,2281,4538,188496,,,,,,,,,,,,,,,,,,,,
20201124,2091,4685,166503,,,,,,,,,,,,,,,,,,,,
20201123,853,2835,154696,,,,,,,,,,,,,,,,,,,,
20201122,923,2291,154188,,,,,,,,,,,,,,,,,,,,
20201121,1551,3375,186385,,,,,,,,,,,,,,,,,,,,
20201120,1910,3903,197164,,,,,,,,,,,,,,,,,,,,
20201119,2010,4456,187932,,,,,,,,,,,,,,,,,,,,
20201118,1885,4352,168220,,,,,,,,,,,,,,,,,,,,
20201117,1553,3887,159826,,,,,,,,,,,,,,,,,,,,
20201116,607,2907,149977,,,,,,,,,,,,,,,,,,,,
20201115,712,1868,147062,,,,,,,,,,,,,,,,,,,,
20201114,1353,3468,167726,,,,,,,,,,,,,,,,,,,,
20201113,1301,3673,174633,,,,,,,,,,,,,,,,,,,,
20201112,1112,3562,157542,,,,,,,,,,,,,,,,,,,,
20201111,1577,3281,149333,,,,,,,,,,,,,,,,,,,,
20201110,1358,4070,135569,,,,,,,,,,,,,,,,,,,,
20201109,577,2176,118403,,,,,,,,,,,,,,,,,,,,
20201108,513,1467,112445,,,,,,,,,,,,,,,,,,,,
20201107,1125,2341,132113,,,,,,,,,,,,,,,,,,,,
20201106,1185,3121,129990,,,,,,,,,,,,,,,,,,,,
20201105,1154,2553,119023,,,,,,,,,,,,,,,,,,,,
20201104,1131,3107,105996,,,,,,,,,,,,,,,,,,,,
20201103,1517,3135,119949,,,,,,,,,,,,,,,,,,,,
20201102,475,1399,83454,,,,,,,,,,,,,,,,,,,,
20201101,410,1166,141974,,,,,,,,,,,,,,,,,,,,
20201031,958,2116,91293,,,,,,,,,,,,,,,,,,,,
20201030,947,2403,97942,,,,,,,,,,,,,,,,,,,,
20201029,1060,2321,89365,,,,,,,,,,,,,,,,,,,,
20201028,1047,2461,79700,,,,,,,,,,,,,,,,,,,,
20201027,922,2290,72255,,,,,,,,,,,,,,,,,,,,
20201026,397,1697,63430,,,,,,,,,,,,,,,,,,,,
20201025,391,1076,64471,,,,,,,,,,,,,,,,,,,,
20201024,896,1822,83792,,,,,,,,,,,,,,,,,,,,
20201023,949,2801,82575,,,,,,,,,,,,,,,,,,,,
20201022,1094,2229,72273,,,,,,,,,,,,,,,,,,,,
